Fiscal Year,HRSA Program Area,HHS Region,State/Territory,County and State,Cong. District,Program,Grant Num.,Grantee,DUNS Num.,Address,City,State,ZIP Code,County,Funding,As of Date (Close of Business Date),HRSA Data Warehouse Processing Date
2018,Primary Health Care,Region 2,New York,"Richmond County, NY",New York District 11,Health Center Program (H80),H80CS12866,BEACON CHRISTIAN COMMUNITY HEALTH CENTER,801994026,2079 Forest Ave,Staten Island,NY,10303-1865,Richmond County,1699529,11/29/2018,11/30/2018
2018,Health Workforce,Region 9,California,"Los Angeles County, CA",California District 35,Nurse Faculty Loan Program (E01),E01HP28767,WESTERN UNIVERSITY OF HEALTH SCIENCES,93373694,309 E 2nd St,Pomona,CA,91766-1854,Los Angeles County,700694,11/29/2018,11/30/2018
2018,Primary Health Care,Region 1,New Hampshire,"Hillsborough County, NH",New Hampshire District 02,Health Center Program (H80),H80CS12867,"Harbor Homes, Inc.",131864357,45 High St,Nashua,NH,03060-3312,Hillsborough County,2570094,11/29/2018,11/30/2018
2018,Primary Health Care,Region 3,Virginia,"Prince William County, VA",Virginia District 11,Health Center Program (H80),H80CS12871,"Greater Prince William Area Community Health Center, Inc.",786509807,4379 Ridgewood Center Dr,Woodbridge,VA,22192,Prince William County,3464553,11/29/2018,11/30/2018
2018,Primary Health Care,Region 9,California,"Sacramento County, CA",California District 06,Health Center Program (H80),H80CS12872,WellSpace Health,73792376,1820 J St,Sacramento,CA,95811-3010,Sacramento County,2744864,11/29/2018,11/30/2018
2018,Primary Health Care,Region 6,Texas,"Ellis County, TX",Texas District 06,Health Center Program (H80),H80CS12874,ELLIS COUNTY COALITION FOR HEALTH OPTIONS,807868653,201 Ferris Ave Ste J,Waxahachie,TX,75165-3660,Ellis County,1462467,11/29/2018,11/30/2018
2018,Primary Health Care,Region 2,New York,"St. Lawrence County, NY",New York District 21,Health Center Program (H80),H80CS08746,"UNITED CEREBRAL PALSY ASSOCIATION OF THE NORTH COUNTRY, INC.",199249512,4 Commerce Ln,Canton,NY,13617-3739,St. Lawrence County,1711688,11/29/2018,11/30/2018
2018,Primary Health Care,Region 6,Texas,"Gregg County, TX",Texas District 01,Health Center Program (H80),H80CS08217,"LONGVIEW WELLNESS CENTER, INC.",135827421,1107 E Marshall Ave,Longview,TX,75601-5602,Gregg County,2677879,11/29/2018,11/30/2018
2018,Primary Health Care,Region 9,Arizona,"Maricopa County, AZ",Arizona District 09,Health Center Program (H80),H80CS12845,"NATIVE AMERICAN COMMUNITY HEALTH CENTER, INC.",148763329,4041 N Central Ave Bldg C,Phoenix,AZ,85012-3313,Maricopa County,2122272,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Indiana,"Tippecanoe County, IN",Indiana District 04,Health Center Program (H80),H80CS12846,PURDUE UNIVERSITY,72051394,401 S Grant St,West Lafayette,IN,47907-2024,Tippecanoe County,2498733,11/29/2018,11/30/2018
2018,Primary Health Care,Region 9,Arizona,"Maricopa County, AZ",Arizona District 07,Health Center Program (H80),H80CS12848,WESLEY COMMUNITY CENTER INC,18365130,1300 S 10th St,Phoenix,AZ,85034-4516,Maricopa County,2511970,11/29/2018,11/30/2018
2018,Primary Health Care,Region 6,Texas,"Shelby County, TX",Texas District 01,Health Center Program (H80),H80CS12850,Health Opportunities For The People Of East Texas Inc,170269612,157 Wall St,Tenaha,TX,75974-5413,Shelby County,1171609,11/29/2018,11/30/2018
2018,Health Workforce,Region 10,Washington,"Whitman County, WA",Washington District 05,Nurse Faculty Loan Program (E01),E01HP28794,WASHINGTON STATE UNIVERSITY,41485301,240 French Administration Bldg,Pullman,WA,99164-0001,Whitman County,300000,11/29/2018,11/30/2018
2018,Primary Health Care,Region 9,California,"San Benito County, CA",California District 20,Health Center Program (H80),H80CS08223,San Benito Health Foundation,88844568,351 Felice Dr,Hollister,CA,95023-3361,San Benito County,2809906,11/29/2018,11/30/2018
2018,Health Workforce,Region 10,Oregon,"Multnomah County, OR",Oregon District 03,Nurse Faculty Loan Program (E01),E01HP28796,Oregon Health & Science University,96997515,3181 SW Sam Jackson Park Rd,Portland,OR,97239-3011,Multnomah County,106589,11/29/2018,11/30/2018
2018,Primary Health Care,Region 6,Texas,"Concho County, TX",Texas District 11,Health Center Program (H80),H80CS08225,FRONTERA HEALTHCARE NETWORK,21750698,604 Eaker St,Eden,TX,76837,Concho County,2426912,11/29/2018,11/30/2018
2018,Health Workforce,Region 4,Florida,"Palm Beach County, FL",Florida District 22,Nurse Faculty Loan Program (E01),E01HP28819,Florida Atlantic University,4147534,777 Glades Rd,Boca Raton,FL,33431-6424,Palm Beach County,151112,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Michigan,"Chippewa County, MI",Michigan District 01,Health Center Program (H80),H80CS06664,BAY MILLS INDIAN COMMUNITY,149727117,12140 W Lakeshore Dr,Brimley,MI,49715-9319,Chippewa County,1487782,11/29/2018,11/30/2018
2018,Primary Health Care,Region 7,Missouri,"Washington County, MO",Missouri District 08,Health Center Program (H80),H80CS06670,Great Mines Health Center,130574648,1 Southtowne Dr,Potosi,MO,63664-5729,Washington County,2294963,11/29/2018,11/30/2018
2018,Health Workforce,Region 7,Missouri,"Jackson County, MO",Missouri District 05,Nurse Faculty Loan Program (E01),E01HP28801,UNIVERSITY OF MISSOURI SYSTEM,10989619,5100 Rockhill Rd,Kansas City,MO,64110-2446,Jackson County,608477,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Illinois,"Kane County, IL",Illinois District 11,Health Center Program (H80),H80CS03983,"Vna Health Care, An Illinois Not-for-profit Corporation",802430249,400 N Highland Ave,Aurora,IL,60506-3814,Kane County,7221104,11/29/2018,11/30/2018
2018,Health Workforce,Region 4,Tennessee,"Davidson County, TN",Tennessee District 05,Scholarships for Disadvantaged Students (T08),T08HP30153,MEHARRY MEDICAL COLLEGE,41438185,1005 Dr Db Todd Jr Blvd,Nashville,TN,37208-3501,Davidson County,650000,11/29/2018,11/30/2018
2018,Primary Health Care,Region 1,Massachusetts,"Hampden County, MA",Massachusetts District 01,Health Center Program (H80),H80CS00803,"HOLYOKE HEALTH CENTER, INC.",153616263,230 Maple St,Holyoke,MA,01040-5144,Hampden County,5060897,11/29/2018,11/30/2018
2018,Primary Health Care,Region 10,Washington,"Okanogan County, WA",Washington District 04,Health Center Program (H80),H80CS01441,"Confederated Tribes of the Colville Reservation, The",112167510,21 Colville St,Nespelem,WA,99155,Okanogan County,1713125,11/29/2018,11/30/2018
2018,Primary Health Care,Region 10,Oregon,"Lane County, OR",Oregon District 04,Health Center Program (H80),H80CS01443,COUNTY OF LANE,30786248,125 E 8th Ave,Eugene,OR,97401-2926,Lane County,3185182,11/29/2018,11/30/2018
2018,Primary Health Care,Region 10,Alaska,"Valdez-Cordova Census Area, AK",Alaska At Large,Health Center Program (H80),H80CS01444,"CROSS ROAD HEALTH MINISTRIES, INC.",791257751,187 Glenn Hwy Bldg A,Glennallen,AK,99588-0005,Valdez-Cordova Census Area,2025998,11/29/2018,11/30/2018
2018,Primary Health Care,Region 8,Montana,"Glacier County, MT",Montana At Large,Health Center Program (H80),H80CS01451,"GLACIER COMMUNITY HEALTH CENTER, INC.",142980585,519 E Main St,Cut Bank,MT,59427-3015,Glacier County,2083975,11/29/2018,11/30/2018
2018,Primary Health Care,Region 8,North Dakota,"Grand Forks County, ND",North Dakota At Large,Health Center Program (H80),H80CS01808,Valley Community Health Centers,157698296,212 S 4th St Ste 200,Grand Forks,ND,58201-4781,Grand Forks County,1952534,11/29/2018,11/30/2018
2018,Health Workforce,Region 6,Texas,"Nueces County, TX",Texas District 27,Scholarships for Disadvantaged Students (T08),T08HP30163,TEXAS A&M UNIVERSITY-CORPUS CHRISTI,95100152,6300 Ocean Dr Unit 5840,Corpus Christi,TX,78412-5840,Nueces County,649224,11/29/2018,11/30/2018
2018,Health Workforce,Region 4,Alabama,"Tuscaloosa County, AL",Alabama District 07,Scholarships for Disadvantaged Students (T08),T08HP30164,University of Alabama,45632635,301 Rose Admin Bldg,Tuscaloosa,AL,35487-0001,Tuscaloosa County,600000,11/29/2018,11/30/2018
2018,Primary Health Care,Region 3,Virginia,"Lynchburg City, VA",Virginia District 06,Health Center Program (H80),H80CS02445,JOHNSON HEALTH CENTER,175961635,320 Federal St,Lynchburg,VA,24504-2306,Lynchburg City,3470370,11/29/2018,11/30/2018
2018,Primary Health Care,Region 3,Virginia,"Fairfax County, VA",Virginia District 08,Health Center Program (H80),H80CS02446,Neighborhood Health,102672982,6677 Richmond Hwy,Alexandria,VA,22306-6647,Fairfax County,4057176,11/29/2018,11/30/2018
2018,Health Workforce,Region 6,Texas,"El Paso County, TX",Texas District 16,Scholarships for Disadvantaged Students (T08),T08HP30184,UNIVERSITY OF TEXAS AT EL PASO,132051285,500 W University Ave,El Paso,TX,79968-8900,El Paso County,646932,11/29/2018,11/30/2018
2018,Primary Health Care,Region 9,California,"Tulare County, CA",California District 22,Health Center Program (H80),H80CS00786,Family Healthcare Network,32326548,305 E Center Ave,Visalia,CA,93291-6331,Tulare County,16375838,11/29/2018,11/30/2018
2018,Primary Health Care,Region 9,California,"Los Angeles County, CA",California District 28,Health Center Program (H80),H80CS00787,"ASIAN PACIFIC HEALTH CARE VENTURE, INC.",798158721,4216 Fountain Ave,Los Angeles,CA,90029-2256,Los Angeles County,4836738,11/29/2018,11/30/2018
2018,Primary Health Care,Region 3,Delaware,"New Castle County, DE",Delaware At Large,Health Center Program (H80),H80CS00789,"Westside Family Healthcare, Inc.",613690270,300 Water St Ste 200,Wilmington,DE,19801-5043,New Castle County,7887175,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Minnesota,"Ramsey County, MN",Minnesota District 04,Health Center Program (H80),H80CS00790,"WEST SIDE COMMUNITY HEALTH SERVICES, INC.",135938926,153 Cesar Chavez St,Saint Paul,MN,55107-2226,Ramsey County,6791719,11/29/2018,11/30/2018
2018,Primary Health Care,Region 3,Virginia,"Accomack County, VA",Virginia District 02,Health Center Program (H80),H80CS00791,"Eastern Shore Rural Health System, Incorporated",95429882,20280 Market St,Onancock,VA,23417-1331,Accomack County,4973949,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Wisconsin,"Wood County, WI",Wisconsin District 07,Health Center Program (H80),H80CS00792,"Family Health Center Of Marshfield, Inc.",135022296,1000 N Oak Ave,Marshfield,WI,54449-5703,Wood County,6334360,11/29/2018,11/30/2018
2018,Primary Health Care,Region 6,Texas,"Nacogdoches County, TX",Texas District 01,Health Center Program (H80),H80CS00793,"East Texas Community Health Services, Inc.",784246530,1401 S University Dr,Nacogdoches,TX,75961-6488,Nacogdoches County,3817949,11/29/2018,11/30/2018
2018,Primary Health Care,Region 6,Oklahoma,"Seminole County, OK",Oklahoma District 05,Health Center Program (H80),H80CS00757,"CENTRAL OKLAHOMA FAMILY MEDICAL CENTER, INC.",131057754,527 W 3rd St,Konawa,OK,74849-1415,Seminole County,2624376,11/29/2018,11/30/2018
2018,Primary Health Care,Region 10,Alaska,"Dillingham Census Area, AK",Alaska At Large,Health Center Program (H80),H80CS01133,Bristol Bay Area Health Corporation,81488264,6000 Kanakanak Rd,Dillingham,AK,99576,Dillingham Census Area,3062211,11/29/2018,11/30/2018
2018,Primary Health Care,Region 9,California,"El Dorado County, CA",California District 04,Health Center Program (H80),H80CS06671,El Dorado County Community Health Center,126544597,4327 Golden Center Dr Ste 1,Placerville,CA,95667-6287,El Dorado County,3528712,11/29/2018,11/30/2018
2018,Primary Health Care,Region 4,Kentucky,"Perry County, KY",Kentucky District 05,Health Center Program (H80),H80CS07772,"KENTUCKY MOUNTAIN HEALTH ALLIANCE, INC.",178044595,421 Memorial Dr,Hazard,KY,41701-1441,Perry County,1766625,11/29/2018,11/30/2018
2018,Primary Health Care,Region 8,Utah,"Washington County, UT",Utah District 02,Health Center Program (H80),H80CS07890,"SOUTHWEST UTAH COMMUNITY HEALTH CENTER, INC.",129985235,25 N 100 E Ste 102,Saint George,UT,84770-7369,Washington County,3053112,11/29/2018,11/30/2018
2018,Primary Health Care,Region 4,North Carolina,"Cabarrus County, NC",North Carolina District 08,Health Center Program (H80),H80CS06652,"Cabarrus Community Health Centers, Inc.",140234464,202 Mcgill Ave NW Apt D,Concord,NC,28025-4615,Cabarrus County,3322269,11/29/2018,11/30/2018
2018,Health Workforce,Region 9,California,"Los Angeles County, CA",California District 32,Nurse Faculty Loan Program (E01),E01HP28831,Azusa Pacific University,76245851,901 E Alosta Ave,Azusa,CA,91702-2701,Los Angeles County,861077,11/29/2018,11/30/2018
2018,Health Workforce,Region 4,Alabama,"Jefferson County, AL",Alabama District 07,Nurse Faculty Loan Program (E01),E01HP28840,University Of Alabama At Birmingham,63690705,701 20th St S,Birmingham,AL,35233-2031,Jefferson County,793283,11/29/2018,11/30/2018
2018,Health Workforce,Region 3,Virginia,"Hampton City, VA",Virginia District 03,Nurse Faculty Loan Program (E01),E01HP28841,HAMPTON UNIVERSITY,3135068,100 E Queen St,Hampton,VA,23668-0108,Hampton City,200486,11/29/2018,11/30/2018
2018,Primary Health Care,Region 9,California,"Los Angeles County, CA",California District 37,Health Center Program (H80),H80CS10609,"UNIVERSITY MUSLIM MEDICAL ASSOCIATION, INC.",146272922,711 W Florence Ave,Los Angeles,CA,90044-6105,Los Angeles County,2022628,11/29/2018,11/30/2018
2018,Primary Health Care,Region 6,Texas,"Brazoria County, TX",Texas District 22,Health Center Program (H80),H80CS11255,"Stephen F. Austin Community Health Center, Inc.",825062818,1111 W Adoue St,Alvin,TX,77511-2718,Brazoria County,2106366,11/29/2018,11/30/2018
2018,Primary Health Care,Region 6,Texas,"Travis County, TX",Texas District 35,Health Center Program (H80),H80CS11298,TRAVIS COUNTY HEALTHCARE DISTRICT,797039398,1111 E Cesar Chavez St Ste B,Austin,TX,78702-4209,Travis County,6369781,11/29/2018,11/30/2018
2018,Primary Health Care,Region 1,Maine,"Knox County, ME",Maine District 01,Health Center Program (H80),H80CS06657,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",37717881,15 Medical Center Loop,Vinalhaven,ME,04863-4119,Knox County,1171648,11/29/2018,11/30/2018
2018,Primary Health Care,Region 1,Vermont,"Orange County, VT",Vermont At Large,Health Center Program (H80),H80CS06658,"LITTLE RIVERS HEALTH CARE, INC.",137194440,146 Mill St,Bradford,VT,05033-4456,Orange County,1638855,11/29/2018,11/30/2018
2018,Primary Health Care,Region 7,Nebraska,"Madison County, NE",Nebraska District 01,Health Center Program (H80),H80CS10590,"MIDTOWN HEALTH CENTER, INC.",138918300,302 W Phillip Ave,Norfolk,NE,68701-5248,Madison County,2158502,11/29/2018,11/30/2018
2018,Health Workforce,Region 5,Ohio,"Ashland County, OH",Ohio District 07,Nurse Faculty Loan Program (E01),E01HP31825,ASHLAND UNIVERSITY,76751825,401 College Ave,Ashland,OH,44805-3702,Ashland County,279313,11/29/2018,11/30/2018
2018,Health Workforce,Region 9,California,"Riverside County, CA",California District 41,Nurse Faculty Loan Program (E01),E01HP31826,CALIFORNIA BAPTIST UNIVERSITY,53845582,8432 Magnolia Ave,Riverside,CA,92504-3206,Riverside County,1000000,11/29/2018,11/30/2018
2018,Primary Health Care,Region 4,Tennessee,"Monroe County, TN",Tennessee District 03,Health Center Program (H80),H80CS06461,CHOTA COMMUNITY HEALTH SERVICES,143627094,1206 Highway 411,Vonore,TN,37885-2455,Monroe County,2056346,11/29/2018,11/30/2018
2018,Primary Health Care,Region 9,California,"Yuba County, CA",California District 03,Health Center Program (H80),H80CS06629,Peach Tree Healthcare,137784638,5730 Packard Ave Ste 500,Marysville,CA,95901-7119,Yuba County,2338614,11/29/2018,11/30/2018
2018,Primary Health Care,Region 10,Oregon,"Lincoln County, OR",Oregon District 05,Health Center Program (H80),H80CS06639,"LINCOLN, COUNTY OF",961796794,36 SW Nye St,Newport,OR,97365-3821,Lincoln County,1575242,11/29/2018,11/30/2018
2018,Primary Health Care,Region 9,Hawaii,"Hawaii County, HI",Hawaii District 02,Health Center Program (H80),H80CS06640,West Hawaii Community Health Center Inc,145968777,75-5751 Kuakini Hwy Ste 203,Kailua Kona,HI,96740-1753,Hawaii County,2824183,11/29/2018,11/30/2018
2018,Health Workforce,Region 6,Texas,"Denton County, TX",Texas District 26,Nurse Faculty Loan Program (E01),E01HP31828,Texas Woman's University,68979848,304 Administration Dr,Denton,TX,76201,Denton County,155538,11/29/2018,11/30/2018
2018,Health Workforce,Region 9,Arizona,"Maricopa County, AZ",Arizona District 09,Nurse Faculty Loan Program (E01),E01HP28834,ARIZONA STATE UNIVERSITY,943360412,660 S Mill Ave Ste 312,Tempe,AZ,85281-3670,Maricopa County,180000,11/29/2018,11/30/2018
2018,Primary Health Care,Region 3,Delaware,"Sussex County, DE",Delaware At Large,Health Center Program (H80),H80CS06651,"La Red Health Center, Inc.",35923635,21444 Carmean Way,Georgetown,DE,19947-4572,Sussex County,3800643,11/29/2018,11/30/2018
2018,Health Workforce,Region 4,South Carolina,"Florence County, SC",South Carolina District 07,Scholarships for Disadvantaged Students (T08),T08HP30146,FRANCIS MARION UNIVERSITY,78052131,4822 E Palmetto St,Florence,SC,29506-4530,Florence County,576763,11/29/2018,11/30/2018
2018,Primary Health Care,Region 9,California,"Orange County, CA",California District 49,Health Center Program (H80),H80CS24195,CAMINO HEALTH CENTER,956164297,30300 Camino Capistrano,San Juan Capistrano,CA,92675-1304,Orange County,3051915,11/29/2018,11/30/2018
2018,Primary Health Care,Region 6,Texas,"Denton County, TX",Texas District 26,Health Center Program (H80),H80CS24197,"Health Services of North Texas , Inc.",928920180,4401 N Interstate 35 Unit 312,Denton,TX,76207-3318,Denton County,1688203,11/29/2018,11/30/2018
2018,Primary Health Care,Region 4,Kentucky,"Floyd County, KY",Kentucky District 05,Health Center Program (H80),H80CS24692,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",68135607,104 S Front Ave,Prestonsburg,KY,41653-1614,Floyd County,2440854,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Indiana,"Marion County, IN",Indiana District 07,Health Center Program (H80),H80CS25436,THE HEALTH & HOSPITAL CORP OF MARION COUNTY,52952058,3838 N Rural St Fl 8,Indianapolis,IN,46205-2930,Marion County,3425374,11/29/2018,11/30/2018
2018,Maternal and Child Health,Region 3,Delaware,"New Castle County, DE",Delaware At Large,Family Professional Partnership/CSHCN (H84),H84MC21662,"DELAWARE FAMILY VOICES, INC.",965286755,3301 Englewood Rd,Wilmington,DE,19810-3323,New Castle County,96750,11/29/2018,11/30/2018
2018,Primary Health Care,Region 4,Georgia,"Gwinnett County, GA",Georgia District 07,Health Center Program (H80),H80CS25708,"Four Corners Primary Care Centers, Inc.",20004969,5300 Oakbrook Pkwy Ste 130,Norcross,GA,30093-2261,Gwinnett County,1783921,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Michigan,"Genesee County, MI",Michigan District 05,Health Center Program (H80),H80CS25709,Genesee Health System,106512783,420 W 5th Ave,Flint,MI,48503-2445,Genesee County,1964545,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Michigan,"Houghton County, MI",Michigan District 01,Health Center Program (H80),H80CS26511,Upper Great Lakes Family Health Center,829683338,506 Campus Dr,Hancock,MI,49930-1569,Houghton County,3166418,11/29/2018,11/30/2018
2018,Primary Health Care,Region 7,Missouri,"Adair County, MO",Missouri District 06,Health Center Program (H80),H80CS26512,"PREFERRED FAMILY HEALTHCARE, INCORPORATED",802455709,900 E Laharpe St,Kirksville,MO,63501-4520,Adair County,3043317,11/29/2018,11/30/2018
2018,HIV/AIDS,Region 5,Illinois,"Cook County, IL",Illinois District 01,Special Projects of National Significance (H97),H97HA31804,Christian Community Health Center,113661839,9718 S Halsted St,Chicago,IL,60628-1007,Cook County,300000,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Wisconsin,"Sheboygan County, WI",Wisconsin District 06,Health Center Program (H80),H80CS24152,"Lakeshore Community Health Care, Inc",962587361,1721 Saemann Ave,Sheboygan,WI,53081-2342,Sheboygan County,1916175,11/29/2018,11/30/2018
2018,Primary Health Care,Region 4,South Carolina,"Pickens County, SC",South Carolina District 03,Health Center Program (H80),H80CS24157,"Foothills Community Health Care, Inc.",962530148,1011 Tiger Blvd Ste 250,Clemson,SC,29631-1340,Pickens County,1479887,11/29/2018,11/30/2018
2018,Primary Health Care,Region 3,Pennsylvania,"Lycoming County, PA",Pennsylvania District 10,Health Center Program (H80),H80CS24159,"Susquehanna Community Health And Dental Clinic, Inc.",963357301,471 Hepburn St,Williamsport,PA,17701-6122,Lycoming County,2071072,11/29/2018,11/30/2018
2018,Primary Health Care,Region 10,Oregon,"Multnomah County, OR",Oregon District 03,Health Center Program (H80),H80CS24160,Neighborhood Health Center,964795244,6420 SW Macadam Ave Ste 300,Portland,OR,97239-3519,Multnomah County,2415491,11/29/2018,11/30/2018
2018,Primary Health Care,Region 10,Oregon,"Multnomah County, OR",Oregon District 03,Health Center Program (H80),H80CS24161,Oregon Health & Science University,96997515,3181 SW Sam Jackson Park Rd,Portland,OR,97239-3011,Multnomah County,1980307,11/29/2018,11/30/2018
2019,HIV/AIDS,Region 1,Maine,"Kennebec County, ME",Maine District 01,Ryan White Title III HIV Capacity Development and Planning Grants (P06),P06HA33746,Mainegeneral Medical Center,77461754,35 Medical Center Pkwy,Augusta,ME,04330-8160,Kennebec County,108341,10/22/2019,10/23/2019
2019,HIV/AIDS,Region 2,New York,"Kings County, NY",New York District 07,Ryan White Title III HIV Capacity Development and Planning Grants (P06),P06HA33767,"Sunset Park Health Council, Inc.",785145843,150 55th St Ste 1,Brooklyn,NY,11220-2508,Kings County,148865,10/22/2019,10/23/2019
2019,HIV/AIDS,Region 3,Virginia,"Norfolk City, VA",Virginia District 03,Ryan White Title III HIV Capacity Development and Planning Grants (P06),P06HA33805,LGBT life center,809285851,248 W 24th St,Norfolk,VA,23517-1304,Norfolk City,150000,10/22/2019,10/23/2019
2018,Rural Health,Region 9,Arizona,"Pima County, AZ",Arizona District 03,State Offices of Rural Health (H95),H95RH00102,University Of Arizona,806345617,888 N Euclid Ave Rm 510,Tucson,AZ,85719-4824,Pima County,179270,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Michigan,"Wayne County, MI",Michigan District 13,Health Center Program (H80),H80CS24134,"WELLNESS PLAN, THE",68836741,2888 W Grand Blvd,Detroit,MI,48202-2612,Wayne County,1996342,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Michigan,"Wayne County, MI",Michigan District 14,Health Center Program (H80),H80CS24135,"Wayne, County of",73134884,500 Griswold St Fl 31,Detroit,MI,48226-3480,Wayne County,2263922,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Minnesota,"Ramsey County, MN",Minnesota District 04,Health Center Program (H80),H80CS24136,UNITED FAMILY PRACTICE HEALTH CENTER,110382116,1026 7th St W,Saint Paul,MN,55102-3828,Ramsey County,1820446,11/29/2018,11/30/2018
2018,Primary Health Care,Region 2,New York,"Kings County, NY",New York District 10,Health Center Program (H80),H80CS24164,EZRA MEDICAL CENTER,6610977,1312 38th St,Brooklyn,NY,11218-3612,Kings County,2436290,11/29/2018,11/30/2018
2018,Primary Health Care,Region 6,Louisiana,"Richland Parish, LA",Louisiana District 05,Health Center Program (H80),H80CS24167,"RICHLAND, PARISH OF",130153760,407 Cincinnati St,Delhi,LA,71232-3007,Richland Parish,2303598,11/29/2018,11/30/2018
2018,Primary Health Care,Region 7,Iowa,"Sioux County, IA",Iowa District 04,Health Center Program (H80),H80CS24171,"Greater Sioux Community Health Center, Inc.",788622061,338 1st Ave NW,Sioux Center,IA,51250-1875,Sioux County,1591524,11/29/2018,11/30/2018
2018,Primary Health Care,Region 4,Georgia,"Richmond County, GA",Georgia District 12,Health Center Program (H80),H80CS24172,"CHRIST COMMUNITY HEALTH SERVICES AUGUSTA, INC.",19518924,1226 Dantignac St,Augusta,GA,30901-2788,Richmond County,1420570,11/29/2018,11/30/2018
2018,Primary Health Care,Region 4,Florida,"Monroe County, FL",Florida District 26,Health Center Program (H80),H80CS24174,"Rural Health Network of Monroe County Florida, Inc",794377395,3706 N Roosevelt Blvd Ste D,Key West,FL,33040-4566,Monroe County,1583251,11/29/2018,11/30/2018
2018,Primary Health Care,Region 4,Georgia,"Clarke County, GA",Georgia District 10,Health Center Program (H80),H80CS24129,ATHENS NEIGHBORHOOD HEALTH CENTER,79367611,675 College Ave,Athens,GA,30601-2635,Clarke County,1302366,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Illinois,"McLean County, IL",Illinois District 13,Health Center Program (H80),H80CS24130,"CHESTNUT HEALTH SYSTEMS, INC.",125086173,1003 Martin Luther King Dr,Bloomington,IL,61701-1429,McLean County,2934381,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Illinois,"Knox County, IL",Illinois District 17,Health Center Program (H80),H80CS24132,"KNOX, COUNTY OF",806771143,1361 W Fremont St,Galesburg,IL,61401-2436,Knox County,1742651,11/29/2018,11/30/2018
2018,Maternal and Child Health,Region 10,Alaska,"Anchorage Borough, AK",Alaska At Large,Family Professional Partnership/CSHCN (H84),H84MC32232,STONE SOUP GROUP,154836600,307 E Northern Lights Blvd Ste 100,Anchorage,AK,99503-2701,Anchorage Borough,96750,11/29/2018,11/30/2018
2018,HIV/AIDS,Region 9,California,"San Diego County, CA",California District 51,Special Projects of National Significance (H97),H97HA31427,"FAMILY HEALTH CENTERS OF SAN DIEGO, INC.",20531893,823 Gateway Center Way,San Diego,CA,92102-4541,San Diego County,300000,11/29/2018,11/30/2018
2018,Maternal and Child Health,Region 4,Georgia,"DeKalb County, GA",Georgia District 06,Family Professional Partnership/CSHCN (H84),H84MC07947,PARENT TO PARENT OF GEORGIA INC,163071798,3070 Presidential Pkwy,Atlanta,GA,30340-3712,DeKalb County,96750,11/29/2018,11/30/2018
2018,Primary Health Care,Region 4,North Carolina,"Forsyth County, NC",North Carolina District 05,Health Center Program (H80),H80CS24143,UNITED HEALTH CENTERS,164721495,3009 Waughtown St,Winston Salem,NC,27107-1634,Forsyth County,3019864,11/29/2018,11/30/2018
2018,Primary Health Care,Region 10,Oregon,"Multnomah County, OR",Oregon District 03,Health Center Program (H80),H80CS24145,"WALLACE MEDICAL CONCERN, THE",180477309,124 NE 181st Ave Ste 103,Portland,OR,97230-6565,Multnomah County,2536064,11/29/2018,11/30/2018
2018,Primary Health Care,Region 3,Pennsylvania,"Chester County, PA",Pennsylvania District 07,Health Center Program (H80),H80CS24148,"LA COMUNIDAD HISPANIA, INC",38006599,731 W Cypress St,Kennett Square,PA,19348-2419,Chester County,3167598,11/29/2018,11/30/2018
2018,Primary Health Care,Region 6,Texas,"Harrison County, TX",Texas District 01,Health Center Program (H80),H80CS08781,East Texas Border Health Clinic,603868360,1500 W Grand Ave,Marshall,TX,75670-3005,Harrison County,2408420,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Ohio,"Morgan County, OH",Ohio District 15,Health Center Program (H80),H80CS08783,MUSKINGUM VALLEY HEALTH CENTERS,797058588,859 N Main St,Malta,OH,43758-9007,Morgan County,3679568,11/29/2018,11/30/2018
2018,Primary Health Care,Region 4,North Carolina,"Buncombe County, NC",North Carolina District 10,Health Center Program (H80),H80CS08786,Western Nc Community Health Services Inc,948831185,257 Biltmore Ave,Asheville,NC,28801-4120,Buncombe County,2637684,11/29/2018,11/30/2018
2018,Primary Health Care,Region 8,Colorado,"Adams County, CO",Colorado District 06,Health Center Program (H80),H80CS24099,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",41096314,13001 E 17th Pl Ste F428,Aurora,CO,80045-2571,Adams County,1754376,11/29/2018,11/30/2018
